Datum;
2021-10-04;
21337;
123444174841;250,00
123444171854;250,00
123444174858;250,00
123444174999;250,00
123444174890;250,00
123444171664;300,00
123444174866;300,00
123444175020;350,00
123444175046;350,00
123444173421;350,00
123444174882;350,00
123444174577;400,00
123444174957;400,00
123444174981;400,00
123444174973;400,00
123444172530;450,00
123444174734;450,00
123444175079;550,00
123444173744;550,00
123444174809;600,00
123444172381;600,00
123444172027;600,00
123444172076;650,00
123444172985;650,00
123444172936;950,00
123444174718;1 000,00
123444174676;1 000,00
123444172001;1 000,00
123444170807;1 500,00
273092646127;1 992,00
123444170237;2 000,00
123444175012;2 100,00
275112075484;2 303,00
123444175145;2 750,00
123444171045;3 300,00
123444171219;3 300,00
123444171201;3 800,00
123444171318;6 050,00
123444167977;9 220,00
123444171292;9 240,00
