Datum;
2022-05-11;
22165;
274031799605;5,00
272021955716;57,00
123444214514;225,00
123444213151;330,00
123444211692;390,00
123444209647;430,00
123444216196;450,00
123444214530;450,00
123444215768;470,00
123444213300;600,00
123444215529;795,00
123444215735;820,00
123444215008;950,00
123444215446;970,00
123444214837;1 140,00
123444215362;1 190,00
123444215677;1 245,00
123444215834;1 725,00
272021955716;1 791,00
123444211700;2 000,00
123444211718;2 000,00
123444215701;2 200,00
123444216048;2 425,00
286102211088;2 500,00
123444215842;3 450,00
