Datum;
2022-06-27;
22224;
277080631926;20,00
279101188308;81,00
275102478854;253,00
123444225593;350,00
123444225882;400,00
270043047314;492,00
288092998757;500,00
268100954075;747,00
123444222996;800,00
267071632967;800,00
123444224794;800,00
269070927620;865,00
273031627931;886,00
123444222814;920,00
123444222244;1 000,00
123444226229;1 000,00
286102211088;1 476,00
123444225015;1 500,00
123444226104;1 725,00
275031363896;1 980,00
123444224943;2 000,00
123444225023;2 000,00
123444225833;2 000,00
123444224992;2 400,00
123444226146;2 400,00
123444226112;2 400,00
123444220073;2 425,00
269112190211;2 535,00
123444224851;3 000,00
123444225007;3 000,00
123444225064;3 300,00
272011599813;3 500,00
123444226153;4 800,00
123444225585;5 900,00
285091665049;6 174,00
123444226161;6 200,00
123444226179;7 200,00
123444226237;9 300,00
