Datum;
2022-02-22;
2264;
123444200729;200,00
276032680551;308,00
123444202733;400,00
123444202584;500,00
123444202659;500,00
123444201982;500,00
123444202675;500,00
269051830579;548,00
123444200240;600,00
123444200232;600,00
123444201651;667,00
123444199491;840,00
123444200661;1 295,00
123444200653;1 295,00
123444200489;1 295,00
123444200703;1 295,00
123444200455;1 295,00
123444200539;1 295,00
123444200620;1 295,00
123444202642;1 500,00
123444200802;1 500,00
123444200877;1 500,00
123444202725;2 440,00
123444201057;7 360,00
