Datum;
2021-12-23;
21453;
123444196877;300,00
123444196869;300,00
123444192876;300,00
123444197073;400,00
123444194799;400,00
123444194336;500,00
123444196505;500,00
123444195838;800,00
286041041117;900,00
123444194351;1 000,00
123444195721;1 050,00
271030220773;1 096,00
273061789775;2 000,00
123444194302;2 000,00
278080146964;2 576,00
123444192751;4 500,00
123444195663;5 800,00
123444194450;6 500,00
123444194476;6 500,00
123444194468;6 500,00
272101539547;7 120,00
123444195168;7 150,00
123444196794;7 150,00
123444196984;7 150,00
123444197008;7 150,00
123444194757;7 475,00
123444194997;7 475,00
123444195135;7 800,00
123444196943;9 200,00
123444194591;9 200,00
123444194815;10 120,00
123444197057;10 580,00
123444194526;14 950,00
123444194203;15 275,00
