Datum;
2022-05-27;
22187;
123444216857;120,00
123444221386;120,00
123444218804;195,00
123444221501;225,00
123444220842;250,00
203102825080;250,00
123444217244;290,00
123444219547;300,00
281081413565;303,00
123444218572;320,00
123444216170;330,00
123444221378;400,00
123444221642;430,00
123444217467;430,00
123444217590;450,00
123444220131;470,00
123444220800;470,00
123444217624;480,00
123444220339;480,00
123444217335;500,00
123444220552;520,00
123444219604;580,00
123444217533;580,00
123444217509;580,00
123444218846;590,00
123444217954;600,00
123444213227;650,00
123444215586;690,00
291122681310;750,00
123444218481;750,00
123444199178;795,00
123444218556;820,00
123444217053;820,00
282033089776;881,00
123444213664;900,00
123444158018;990,00
123444220511;1 000,00
273081976246;1 053,00
278032122444;1 123,00
269070927620;1 200,00
123444214894;1 590,00
123444217012;1 725,00
123444217566;1 725,00
123444217046;1 725,00
123444216782;1 725,00
123444221436;1 725,00
123444221345;1 725,00
123444217087;1 725,00
280100622578;1 988,00
123444216204;2 000,00
123444221311;2 200,00
123444220867;2 400,00
123444220974;2 400,00
123444220891;2 400,00
123444221477;2 400,00
123444221261;2 400,00
123444221253;2 400,00
123444221402;2 400,00
123444221394;2 400,00
123444216345;2 425,00
123444217038;2 425,00
123444221600;2 425,00
123444221410;2 425,00
123444221352;2 425,00
274071719992;3 000,00
288092998757;3 000,00
272011599813;3 347,00
123444217442;3 450,00
203022742928;8 595,00
