Datum;
2022-04-04;
22116;
271112823692;12,00
281013074444;13,00
284020343075;42,00
278012157642;44,00
291082459194;100,00
123444206783;250,00
123444207559;270,00
123444207518;300,00
287120438695;360,00
277022351336;406,00
123444203079;500,00
278081992275;563,00
123444207484;600,00
272112148510;736,00
268100954075;755,00
123444207351;975,00
280092378957;1 000,00
275102430665;1 019,00
292032653837;1 076,00
271101242896;1 100,00
123444207328;1 295,00
296101157885;1 300,00
278051857318;1 589,00
270121589963;1 826,00
272012148545;1 878,00
123444206353;2 000,00
285091665049;2 000,00
123444207369;2 000,00
279061090239;2 138,00
123444204762;8 300,00
123444206296;8 900,00
