Datum;
2022-05-10;
22163;
276070519588;161,00
123444215396;225,00
123444215255;225,00
123444215669;225,00
123444210306;230,00
123444213920;320,00
123444212666;330,00
123444212427;330,00
123444214936;345,00
123444215644;350,00
123444211445;390,00
123444209225;500,00
281071240424;600,00
123444214191;645,00
123444215263;650,00
123444215511;675,00
123444211791;700,00
123444215040;820,00
123444215636;820,00
123444214688;890,00
270010450061;917,00
123444210967;950,00
123444214142;970,00
123444215370;1 240,00
123444215180;1 365,00
123444204655;1 500,00
123444215149;1 960,00
123444215222;2 200,00
123444214670;2 200,00
123444215321;2 580,00
282032845988;7 321,00
