Datum;
2021-10-05;
21339;
266051347117;4,00
272032454428;6,00
275100318474;16,00
273101883851;40,00
275112160310;60,00
275102430665;65,00
123444175228;150,00
123444175202;150,00
123444175210;150,00
274051392752;164,00
123444175384;250,00
273111499342;278,00
123444173215;300,00
278020940955;303,00
123444175335;350,00
123444174874;400,00
123444173736;400,00
265102068656;454,00
123444175251;500,00
123444172191;600,00
123444172183;750,00
283091017667;1 394,00
123444175053;1 400,00
123444174643;1 600,00
277011697095;1 965,00
123444175343;2 100,00
123444173728;3 300,00
123444171417;4 350,00
277041756069;5 228,00
123444175327;5 900,00
270072973042;7 154,00
285091665049;7 426,00
123444167662;8 794,00
271030461690;9 369,00
