Datum;
2021-03-17;
91;
276012894347;17,00
123444151690;200,00
123444152318;630,00
123444151443;900,00
123444153324;1 000,00
267072863041;1 500,00
123444152300;1 580,00
123444153274;2 000,00
123444153316;2 000,00
123444151450;2 250,00
123444153340;2 400,00
123444152888;2 570,00
123444150312;3 050,00
123444152433;3 050,00
123444153365;3 050,00
123444150932;3 050,00
123444150296;3 050,00
123444150247;3 050,00
123444152631;3 050,00
123444150205;3 050,00
123444150783;3 050,00
123444150262;3 050,00
123444150270;3 500,00
123444153399;5 000,00
