Datum;
2021-03-26;
105;
267062879973;8,00
123444152490;120,00
123444152482;120,00
123444152474;120,00
123444152755;120,00
123444152235;120,00
123444153092;200,00
287120438695;250,00
123444153613;260,00
275022555922;409,00
273112711687;582,00
268011763482;600,00
123444152607;630,00
123444147060;881,00
123444152383;900,00
123444152201;900,00
269112190211;1 000,00
273061789775;1 000,00
288092998757;1 000,00
265082664268;1 500,00
268073199245;1 548,00
273030726510;1 567,00
274052216299;2 000,00
123444152144;2 000,00
123444154041;2 070,00
123444151310;2 070,00
123444152649;2 070,00
123444152706;2 070,00
279021872015;2 100,00
123444152441;2 400,00
123444152227;2 400,00
271102960397;2 519,00
123444151088;2 570,00
123444153035;2 570,00
123444153027;2 570,00
123444152904;2 570,00
123444152813;2 570,00
123444152920;2 570,00
123444152987;2 570,00
123444154165;2 570,00
123444153019;2 920,00
273031627931;3 000,00
123444152748;3 050,00
123444152185;3 050,00
123444154108;3 050,00
123444152722;3 050,00
123444152193;5 000,00
260053088993;5 040,00
277013051531;6 698,00
123444145221;7 040,00
274071719992;7 329,00
268012832393;7 631,00
123444154025;8 000,00
