Datum;
2021-10-26;
21369;
123444179386;110,00
123444181333;150,00
123444175830;150,00
123444181374;220,00
123444179642;250,00
123444181473;300,00
123444180939;300,00
123444181309;300,00
123444181416;300,00
123444181226;300,00
123444178883;320,00
123444178289;350,00
123444176804;350,00
123444179436;370,00
123444181515;470,00
123444180137;600,00
281042947230;602,00
123444177760;700,00
123444147060;881,00
123444177034;1 000,00
123444180947;1 670,00
123444177877;1 800,00
123444180608;1 800,00
259072232574;1 982,00
123444178461;2 000,00
266070848558;2 110,00
123444181481;2 230,00
123444180145;2 230,00
123444179972;2 230,00
123444177679;2 230,00
123444181465;2 230,00
123444180111;2 230,00
123444178834;2 230,00
123444181408;2 230,00
123444181143;2 230,00
123444181234;2 230,00
123444177786;3 000,00
123444177836;3 000,00
273031627931;3 155,00
123444177224;3 200,00
123444175822;3 200,00
123444177851;3 200,00
123444181283;3 200,00
123444178578;3 200,00
123444177943;3 200,00
123444180590;3 200,00
123444178719;3 200,00
123444178560;3 800,00
123444179584;4 260,00
123444177919;4 260,00
289120487847;5 008,00
123444179808;5 200,00
123444181523;5 800,00
123444178271;5 800,00
123444172829;6 200,00
123444177752;7 400,00
