Datum;
2021-11-05;
21385;
288092770628;5,00
123444183917;250,00
123444184659;250,00
123444184634;250,00
123444181358;250,00
123444184568;250,00
123444181259;300,00
266080854844;300,00
123444182976;350,00
123444184501;350,00
123444184576;450,00
123444184584;450,00
123444183545;550,00
270122074262;591,00
123444180863;600,00
292090464895;688,00
277012075499;720,00
123444182919;855,00
123444183032;900,00
123444184741;1 000,00
123444184733;1 000,00
283112247970;1 043,00
123444182430;1 250,00
123444181150;1 300,00
123444184725;1 400,00
123444181440;1 600,00
123444181002;1 800,00
123444183966;1 910,00
123444180996;2 230,00
123444181242;2 230,00
123444180830;2 230,00
123444181168;2 230,00
123444181044;2 230,00
123444180905;2 230,00
259120396918;2 236,00
279041215872;2 357,00
123444178313;3 300,00
123444181119;4 260,00
123444180715;4 860,00
271080383224;5 066,00
272071750082;5 984,00
123444180749;6 200,00
272111993395;6 549,00
