Datum;
2021-09-06;
21300;
274041398406;5,00
283010510610;10,00
272071750082;20,00
270080547101;42,00
271012836133;51,00
123444169221;200,00
123444168991;270,00
123444168983;290,00
123444167365;360,00
274032712391;483,00
123444169130;520,00
123444169114;520,00
272012640681;550,00
123444169007;560,00
123444167662;931,00
273041921985;1 066,00
276012059222;1 278,00
275102430665;1 334,00
275031865130;1 500,00
284091569004;2 070,00
274012416765;2 747,00
123444167167;2 900,00
289120487847;4 500,00
123444168975;4 550,00
123444169155;6 900,00
123444168645;6 900,00
123444165260;6 989,00
263082472899;7 108,00
