Datum;
2021-10-11;
21347;
123444176143;100,00
270102470118;127,00
123444175616;150,00
123444174825;250,00
276030337527;253,00
123444176838;300,00
123444173322;350,00
123444176622;350,00
123444176499;350,00
123444176648;350,00
123444176713;400,00
123444176721;400,00
274110543486;559,00
123444176960;600,00
123444175038;600,00
123444176507;650,00
123444175483;700,00
123444174684;750,00
123444177166;750,00
123444176598;750,00
123444174767;1 000,00
123444174700;1 000,00
272012640681;2 000,00
123444173454;2 100,00
123444172084;2 200,00
123444176374;2 230,00
123444172894;2 270,00
123444170971;2 500,00
123444176903;2 800,00
123444177109;3 000,00
123444175491;3 200,00
123444177190;3 200,00
123444177059;3 200,00
123444176432;3 200,00
123444176929;3 200,00
123444177232;3 200,00
123444177208;3 200,00
123444176895;3 200,00
123444176986;3 200,00
123444177216;3 200,00
123444171243;3 300,00
123444173082;4 020,00
123444173751;4 400,00
123444177372;4 550,00
290051813662;4 677,00
123444176531;8 700,00
123444175152;9 300,00
123444173769;9 300,00
123444177273;12 600,00
123444172860;14 330,00
123444177265;14 600,00
123444176762;15 800,00
123444176283;17 250,00
123444177349;24 100,00
123444177125;24 200,00
123444176382;30 400,00
