Datum;
2020-12-23;
376;
123444143317;500
123444143952;600
123444142814;1050
123444144232;1900
123444143663;2000
123444143986;2000
274110396018;2259
123444143549;2500
123444144877;2565
123444143150;3000
123444143416;5860
123444143523;5860
123444143523;5860
123444143515;5860
123444144042;6160
123444143341;6500
123444144752;7040
123444143861;7040
123444144976;7040
123444143945;7360
123444143804;7360
123444143218;7360
123444143200;9900
123444142897;10350
123444142475;10350
123444143739;10350
123444143895;14400
123444143424;17260
481480059148;181577
