Datum;
2020-10-12;
284;
123444134340;500,00
123444129712;600,00
123444137038;640,00
123444128128;900,00
275041570746;917,00
123444133995;1 700,00
123444133862;2 125,00
123444136949;2 225,00
123444136758;2 300,00
123444136733;2 425,00
123444135073;2 425,00
123444133615;2 425,00
123444136618;2 428,00
123444134001;2 745,00
123444134365;2 800,00
123444136741;2 850,00
123444136717;2 850,00
123444136683;2 850,00
274050357103;3 031,00
123444136931;3 050,00
123444134407;3 060,00
123444136543;3 450,00
123444134092;3 910,00
123444134415;3 910,00
123444131189;4 000,00
123444133136;4 060,00
123444132955;4 160,00
123444132963;4 480,00
123444136808;4 625,00
123444132930;4 800,00
123444133128;4 810,00
123444135883;4 850,00
123444137079;5 520,00
123444134019;7 080,00
123444136980;8 760,00
123444136816;8 760,00
123444136501;8 760,00
123444137061;8 760,00
123444133797;11 480,00
123444134738;15 180,00
123444133805;15 480,00
123444136436;26 060,00
