Datum;
2021-10-27;
21371;
272111993395;42,00
123444181424;110,00
123444179337;260,00
123444180855;300,00
123444180665;300,00
123444181614;300,00
123444181598;380,00
123444180954;380,00
123444179204;380,00
123444180426;600,00
123444176861;750,00
123444180376;800,00
269070927620;1 370,00
123444181606;1 590,00
123444180848;1 800,00
123444178198;1 800,00
123444181572;1 800,00
123444181580;1 800,00
123444178099;1 800,00
123444180798;1 800,00
123444181788;1 800,00
123444178263;2 000,00
123444178537;2 000,00
123444178255;2 230,00
123444178107;2 230,00
123444178065;2 230,00
123444178180;2 230,00
123444178222;2 230,00
123444180657;2 230,00
123444178966;2 230,00
123444178040;2 230,00
275112075484;2 493,00
123444178032;2 750,00
123444176093;2 750,00
123444181564;2 950,00
123444180343;3 000,00
268022950821;3 000,00
123444178339;3 000,00
123444178545;3 200,00
123444176952;3 200,00
123444177950;4 260,00
123444178800;4 860,00
123444181622;4 860,00
123444178735;6 200,00
272111266677;9 559,00
123444178727;15 800,00
