Datum;
2021-12-13;
21437;
123444192694;125,00
293022266309;253,00
123444192926;300,00
123444192967;300,00
123444193734;300,00
123444193049;300,00
123444194021;500,00
123444193874;600,00
123444193312;800,00
273032766514;997,00
123444194393;1 100,00
123444193452;1 100,00
123444193239;1 100,00
123444194369;1 750,00
123444192520;2 500,00
123444192579;2 500,00
271031094573;3 060,00
123444192470;4 500,00
123444192561;4 500,00
276091575817;4 642,00
123444194377;7 150,00
123444194484;7 150,00
123444194237;7 200,00
