Datum;
2021-12-28;
21457;
271103032790;40,00
270111824263;152,00
266100760591;257,00
123444194849;300,00
123444173603;300,00
123444197339;300,00
123444196380;300,00
123444194948;300,00
123444194906;300,00
123444195218;400,00
123444195069;400,00
123444194765;400,00
259090368889;450,00
274010250448;739,00
294032371170;841,00
123444196919;1 000,00
123444196315;1 000,00
279123013831;1 000,00
272012667486;1 256,00
123444189518;1 400,00
279050674902;2 530,00
123444197313;2 760,00
123444194831;5 520,00
123444195416;6 380,00
123444194872;6 500,00
123444195127;6 500,00
123444196414;7 150,00
123444195184;7 150,00
123444197297;7 150,00
275020640320;7 342,00
123444195002;7 475,00
123444194864;7 475,00
123444196075;7 500,00
269062646907;7 604,00
123444195762;7 800,00
123444195689;7 800,00
123444194955;7 800,00
123444194930;9 200,00
123444195150;9 660,00
123444194922;9 660,00
123444197289;10 120,00
123444194658;10 120,00
123444194740;10 580,00
123444196935;10 580,00
123444196430;11 040,00
123444195309;11 040,00
