Datum;
2020-10-05;
274;
123444130710;8,00
274021594735;8,00
266070848558;8,00
279080234347;17,00
277081571733;17,00
270101568482;60,00
123444135040;150,00
123444132500;150,00
249121115326;250,00
274091020769;272,00
123444132831;450,00
285101282157;457,00
123444135057;500,00
123444134852;500,00
279030811483;511,00
123444132583;800,00
123444134811;900,00
277092079122;1 170,00
123444135511;1 425,00
123444135321;1 500,00
123444135727;1 800,00
123444135230;2 020,00
123444135263;2 020,00
123444134902;2 125,00
123444135404;2 125,00
123444135289;2 125,00
123444135370;2 125,00
123444135388;2 125,00
123444135693;2 125,00
123444135628;2 125,00
279052567765;2 177,00
123444132567;2 210,00
272110843989;2 300,00
123444134993;2 425,00
123444135107;2 425,00
123444135362;2 425,00
123444135248;2 425,00
123444132575;2 635,00
123444133227;2 745,00
123444133151;2 745,00
123444135560;2 850,00
123444135586;3 050,00
123444134944;3 050,00
123444135198;3 050,00
123444135032;3 050,00
123444135206;3 050,00
123444133854;3 050,00
123444133474;3 050,00
123444135081;3 450,00
123444133557;3 450,00
123444135172;3 450,00
123444135412;3 450,00
123444133961;3 950,00
123444134225;3 955,00
123444133045;3 955,00
123444135479;4 100,00
123444134860;4 250,00
123444133722;4 250,00
294052657987;4 500,00
123444132625;4 800,00
123444135065;4 850,00
123444135313;5 070,00
269050173310;6 870,00
123444135578;7 000,00
201102414731;7 009,00
123444135214;7 895,00
261101648408;8 261,00
123444135305;8 880,00
123444134894;9 020,00
123444135735;9 020,00
123444135339;9 280,00
123444135123;15 300,00
