Datum;
2020-09-15;
249;
271010420476;524,00
123444130231;600,00
123444131908;2 000,00
123444129357;2 210,00
123444129423;2 210,00
123444131981;2 210,00
123444128995;2 635,00
123444131999;2 850,00
123444132005;3 000,00
123444129332;3 060,00
123444129449;3 060,00
123444131866;3 135,00
123444129340;3 135,00
123444129613;3 200,00
123444129597;4 000,00
123444129498;4 000,00
123444131874;4 060,00
123444131957;4 150,00
123444130017;4 800,00
123444129431;4 810,00
123444129035;6 080,00
123444130116;6 500,00
123444129324;10 750,00
123444129746;12 000,00
