Datum;
2021-06-07;
188;
275062646409;37,00
123444158240;230,00
123444155873;700,00
123444155873;700,00
273041921985;900,00
265062264014;1 004,00
123444160220;1 100,00
272051489305;1 168,00
123444157952;1 290,00
268011763482;1 443,00
123444160246;1 575,00
123444159966;1 625,00
123444159750;1 625,00
123444158133;1 625,00
123444160253;1 628,00
272012598269;2 286,00
123444157705;2 300,00
123444157382;2 300,00
123444158125;2 300,00
123444160196;2 300,00
123444158141;2 340,00
266022064247;6 129,00
