Datum;
2022-05-09;
22161;
269030619069;10,00
284031911530;18,00
269091452327;52,00
123444215065;225,00
123444215099;225,00
123444214373;300,00
123444215107;300,00
123444213722;320,00
123444212732;320,00
123444213656;330,00
123444213508;330,00
123444213292;330,00
274041645400;345,00
123444213854;350,00
123444212625;380,00
123444212559;380,00
123444213326;420,00
123444210900;430,00
123444214779;450,00
123444214308;450,00
123444210736;450,00
123444211262;450,00
123444214811;470,00
123444214605;470,00
123444214795;470,00
123444214290;470,00
123444214266;470,00
123444214621;470,00
123444212096;500,00
298052063534;512,00
123444214704;525,00
123444210926;530,00
123444214464;570,00
123444214431;570,00
123444214225;570,00
123444215115;570,00
123444214712;620,00
123444214472;640,00
123444212815;640,00
123444213490;640,00
123444212849;640,00
123444213797;640,00
123444210991;650,00
123444213805;650,00
123444214563;675,00
123444214134;695,00
123444214027;710,00
123444212245;800,00
123444211056;850,00
123444214159;870,00
123444214738;870,00
123444214977;870,00
123444213201;950,00
123444209191;1 020,00
123444214423;1 170,00
123444214845;1 320,00
284120447388;1 560,00
123444214589;1 610,00
123444214381;1 840,00
266081676659;2 000,00
123444214316;2 000,00
123444215032;2 000,00
123444214696;2 000,00
285071158783;2 132,00
123444214969;2 340,00
123444215081;3 855,00
123444210207;5 460,00
123444212575;8 900,00
