Datum;
2020-09-29;
267;
123444134027;300,00
123444133326;300,00
123444131700;680,00
123444131692;680,00
123444134035;800,00
123444132534;800,00
123444133565;800,00
123444134068;800,00
123444132104;900,00
123444132492;900,00
123444132203;900,00
123444127336;1 000,00
273061559947;1 500,00
290051813662;1 516,00
123444133375;1 624,00
270042260306;2 219,00
123444131593;2 450,00
123444133664;2 635,00
123444132369;2 745,00
123444133904;2 805,00
123444133656;3 060,00
123444132112;3 135,00
123444133888;3 910,00
123444133649;3 910,00
123444132161;4 000,00
123444131585;4 150,00
123444133821;4 410,00
123444130983;4 800,00
123444133912;5 340,00
123444132633;6 200,00
123444132443;6 500,00
123444128748;6 750,00
123444132062;6 750,00
123444133763;7 900,00
123444133847;8 580,00
123444131205;10 300,00
123444133771;12 580,00
