Datum;
2021-01-07;
6;
123444146070;600,00
123444145536;600,00
123444145072;1 500,00
123444144612;2 200,00
123444145932;5 290,00
123444145957;5 290,00
123444145924;5 290,00
123444146021;6 160,00
290040284678;6 358,00
123444146039;6 762,00
123444145965;7 040,00
123444144935;7 300,00
123444145205;7 360,00
123444144083;7 360,00
123444145189;7 360,00
123444145734;8 900,00
123444144901;8 900,00
123444145080;9 000,00
292061174804;9 989,00
123444144083;10 350,00
123444144265;10 350,00
123444145346;12 575,00
