Datum;
2021-11-12;
21395;
270111568191;7,00
123444186902;150,00
123444187389;300,00
123444187116;300,00
123444182588;350,00
123444183925;350,00
123444187645;400,00
123444183115;450,00
123444183123;450,00
123444187736;450,00
123444182539;500,00
123444186035;500,00
123444182836;600,00
123444184626;600,00
123444182562;650,00
123444182554;650,00
123444182240;700,00
123444179444;770,00
123444187694;950,00
123444187181;2 000,00
123444187744;2 000,00
123444186597;2 200,00
277081367611;2 225,00
123444184980;2 500,00
123444185854;2 550,00
123444185490;3 200,00
