Datum;
2020-12-30;
381;
290051813662;717,00
279123013831;1 000,00
123444141311;1 000,00
123444145114;1 080,00
270042260306;1 277,00
123444144596;1 500,00
272011599813;1 500,00
123444144406;1 500,00
123444145361;2 000,00
123444142590;3 750,00
123444145387;5 528,00
123444142558;6 040,00
123444143168;6 360,00
123444144067;7 040,00
123444144075;7 040,00
123444144380;7 040,00
123444144729;7 360,00
123444144968;8 900,00
123444144489;9 900,00
123444144323;10 350,00
123444145411;10 350,00
123444143812;10 350,00
123444144422;10 350,00
123444144455;10 350,00
123444137525;10 423,50
