Datum;
2021-03-22;
97;
123444153142;200,00
123444153605;260,00
123444153795;380,00
123444153779;800,00
123444151237;900,00
123444151245;900,00
123444152409;900,00
274020975885;2 014,00
123444151195;2 070,00
123444151286;2 070,00
123444152953;2 250,00
123444153423;2 400,00
123444151013;2 570,00
123444151534;2 570,00
123444153944;2 570,00
123444153852;2 570,00
123444150866;2 570,00
123444151120;2 570,00
123444151021;3 050,00
123444151294;3 050,00
123444150999;3 050,00
123444153928;3 050,00
123444150973;3 050,00
123444151062;3 500,00
123444151567;5 550,00
123444153217;6 000,00
