Datum;
2021-11-09;
21389;
296020912428;51,00
123444186498;150,00
123444186100;150,00
123444186308;150,00
123444182091;150,00
123444186092;225,00
123444182281;225,00
123444185953;250,00
123444186068;250,00
123444182356;250,00
123444181432;380,00
123444185961;400,00
288021278552;406,00
123444185011;450,00
123444185409;450,00
123444185870;500,00
123444185805;500,00
123444184378;500,00
123444185839;500,00
123444186084;500,00
123444186142;550,00
123444186050;550,00
123444186027;550,00
123444186316;600,00
123444186365;600,00
123444184394;600,00
123444183784;700,00
123444186167;750,00
123444185797;800,00
123444184386;900,00
123444183552;950,00
123444186076;950,00
123444185813;1 000,00
123444185763;1 250,00
123444184691;1 400,00
123444185862;1 525,00
123444186431;1 900,00
123444181671;2 070,00
123444185474;2 250,00
283102997105;4 555,00
