Datum;
2021-05-27;
174;
123444158455;280,00
123444158463;330,00
123444157192;330,00
123444158752;460,00
123444157903;640,00
273030726510;878,00
123444157200;990,00
123444155949;1 000,00
267083037262;1 000,00
123444158729;1 175,00
123444157408;1 240,00
288092998757;1 500,00
269022036868;1 500,00
279021872015;1 543,00
272080610970;1 728,00
123444154264;1 800,00
267072863041;1 900,00
123444156020;2 070,00
123444158778;2 300,00
123444158695;2 300,00
123444158687;2 300,00
123444157978;2 300,00
123444157291;2 300,00
123444158711;2 300,00
123444158539;2 300,00
123444146153;2 751,66
123444156517;7 600,00
