Datum;
2020-09-17;
253;
271031094573;43,00
265071335300;227,00
123444132336;300,00
123444132195;300,00
123444130025;489,00
123444129894;600,00
123444129753;600,00
123444132237;900,00
123444129886;1 000,00
123444130603;1 250,00
123444129639;1 758,00
123444130488;2 635,00
123444130595;2 710,00
123444129829;2 800,00
123444130587;3 060,00
123444132146;3 135,00
123444132138;3 910,00
123444132328;4 160,00
123444129969;4 800,00
123444132120;4 810,00
123444130363;4 900,00
123444131486;6 300,00
123444128086;6 750,00
