Datum;
2022-04-28;
22147;
273021513307;9,00
275110316674;28,00
265120185334;114,00
267042988449;150,00
123444211494;200,00
123444210553;250,00
123444210538;300,00
123444210850;350,00
123444211767;400,00
123444211668;400,00
123444208995;480,00
123444211684;530,00
123444210496;530,00
123444210793;530,00
123444211825;530,00
123444206254;540,00
123444211569;900,00
271020164064;916,00
123444211726;950,00
123444211775;975,00
123444210389;1 030,00
123444211759;1 150,00
274032118722;1 200,00
123444209787;1 200,00
285121856667;1 321,00
123444209134;1 500,00
276032998805;1 611,00
123444208946;2 000,00
274071719992;3 000,00
272011599813;3 300,00
257082896362;6 257,00
