Datum;
2022-06-09;
22203;
278092858291;225,00
123444224240;225,00
123444224315;315,00
123444224265;315,00
123444224307;350,00
123444224232;350,00
123444223952;600,00
123444221048;700,00
123444223978;900,00
123444222889;920,00
123444223887;920,00
123444223432;920,00
123444223069;920,00
123444222715;920,00
123444222871;920,00
123444222962;920,00
123444221709;1 725,00
123444221717;1 725,00
123444223101;1 840,00
123444218234;2 200,00
265051144102;2 330,00
123444221543;2 400,00
123444224216;2 400,00
123444224158;3 260,00
123444221741;4 150,00
123444221170;4 800,00
123444221675;4 800,00
123444222210;8 300,00
123444221550;8 400,00
