Datum;
2021-09-28;
21329;
282032247755;4,00
123444173538;150,00
123444173587;150,00
123444173678;250,00
123444173801;250,00
123444172910;250,00
123444171748;250,00
123444171656;300,00
123444173652;350,00
123444173512;350,00
123444173561;350,00
123444173702;350,00
123444173660;400,00
123444173520;400,00
123444173181;500,00
123444170385;600,00
123444173850;600,00
123444173579;650,00
123444172597;700,00
123444173595;750,00
123444171938;900,00
123444173553;950,00
279083019208;1 000,00
273020858653;1 000,00
275052076633;1 000,00
275121178790;1 020,00
123444169304;1 200,00
268073199245;1 300,00
123444170617;1 800,00
123444169239;2 000,00
288092998757;2 100,00
123444173686;2 330,00
123444170872;2 500,00
123444170492;2 520,00
123444173009;3 300,00
123444173256;4 000,00
123444171235;4 200,00
123444170534;4 620,00
123444170468;4 620,00
123444170500;4 620,00
123444170484;4 620,00
123444170864;4 620,00
123444171060;4 900,00
123444171334;4 945,00
123444173694;5 800,00
123444170625;6 000,00
123444170765;6 100,00
123444172589;6 290,00
123444171227;7 650,00
123444171110;8 550,00
123444171466;12 580,00
274071719992;12 849,00
123444170393;14 850,00
