Datum;
2021-12-30;
21461;
279053070645;222,00
123444196471;400,00
123444193932;500,00
123444195887;800,00
123444145429;881,00
123444192199;1 675,00
123444195986;2 200,00
123444195648;2 654,00
123444197602;2 731,00
291050166649;3 166,00
123444180624;3 200,00
123444194559;4 500,00
271101242896;5 000,00
123444197149;5 405,00
123444196398;6 500,00
123444197545;6 715,00
123444197446;7 475,00
123444197453;7 475,00
123444197511;7 475,00
123444195903;7 475,00
123444196174;7 500,00
123444197529;7 800,00
123444194609;8 900,00
123444195655;9 200,00
123444196208;9 660,00
123444197552;10 580,00
123444197537;10 580,00
123444196778;11 040,00
123444194856;11 040,00
123444195697;11 040,00
123444196109;11 040,00
123444196059;11 040,00
123444195713;14 950,00
123444195200;24 610,00
