Datum;
2022-03-01;
2274;
264080647466;9,00
277041166780;15,00
123444201578;500,00
123444203889;900,00
274083030578;1 000,00
274032118722;1 000,00
123444201420;1 295,00
123444200463;1 295,00
123444203749;1 500,00
123444201396;1 500,00
123444203665;1 500,00
123444203376;1 500,00
275030569733;1 756,00
286041041117;2 500,00
123444201461;3 025,00
123444201792;3 025,00
123444201784;3 025,00
123444203855;3 025,00
123444203848;3 025,00
123444201453;3 025,00
123444201909;3 025,00
123444201511;3 025,00
123444201503;3 025,00
123444201842;3 025,00
123444203301;3 025,00
123444201776;3 025,00
123444202030;3 025,00
123444203863;3 025,00
279123013831;3 386,00
123444202956;3 600,00
123444203533;5 170,00
123444201545;5 775,00
123444203400;5 775,00
123444201487;5 775,00
123444201529;5 775,00
123444202238;7 000,00
270042810050;8 100,00
123444202816;8 900,00
123444203871;9 200,00
