Datum;
2021-11-23;
21409;
273040590682;65,00
123444186340;150,00
123444186282;150,00
123444190706;200,00
202121464350;350,00
276032680551;443,00
123444185433;450,00
123444186910;450,00
123444183909;450,00
123444185607;450,00
123444190979;450,00
123444189096;500,00
123444186779;550,00
123444190938;600,00
123444181549;600,00
123444183198;600,00
123444186613;600,00
123444190284;1 000,00
123444188940;1 000,00
123444186761;1 050,00
123444186795;1 375,00
275031865130;1 500,00
123444191001;1 800,00
123444186803;1 875,00
123444190888;2 000,00
123444190631;2 000,00
123444185292;2 700,00
123444185144;3 650,00
123444190672;7 200,00
