Datum;
2021-11-15;
21397;
123444187876;125,00
123444187918;150,00
123444186381;150,00
123444186373;150,00
123444188361;150,00
123444188379;150,00
123444188031;225,00
123444186225;225,00
123444187850;250,00
123444183693;250,00
123444182265;250,00
123444186019;250,00
123444188437;250,00
123444186811;250,00
123444187314;250,00
123444188650;350,00
123444187843;350,00
123444188320;350,00
123444188403;350,00
123444184188;400,00
123444186399;400,00
123444186563;400,00
123444183982;450,00
123444183388;500,00
123444185748;500,00
123444188817;500,00
123444187777;550,00
123444187512;550,00
123444186217;550,00
123444187298;600,00
123444183842;600,00
123444183404;650,00
123444183529;700,00
293041890147;750,00
123444188007;950,00
123444184493;1 050,00
123444184808;1 150,00
123444187983;1 200,00
123444188494;1 200,00
123444188262;1 300,00
123444183396;1 400,00
123444185300;1 400,00
123444182224;1 900,00
123444187892;2 000,00
123444187959;2 000,00
123444181762;2 230,00
123444181945;2 230,00
270042260306;2 234,00
123444186183;2 750,00
123444184840;2 800,00
123444187652;2 800,00
123444185904;3 000,00
123444187975;3 200,00
278050366717;6 272,00
