Datum;
2021-06-28;
215;
271122366518;48,00
270102775797;59,00
123444161327;300,00
123444162606;300,00
123444162721;300,00
123444161558;300,00
123444162812;300,00
123444161590;300,00
123444161368;300,00
123444161434;300,00
123444161517;300,00
123444161566;300,00
123444162630;400,00
123444161475;400,00
123444161681;400,00
123444161616;400,00
123444162374;400,00
123444162614;400,00
123444162747;400,00
123444161442;400,00
123444161269;400,00
123444162655;400,00
123444161459;400,00
123444161574;400,00
123444162598;400,00
123444161731;400,00
123444161996;400,00
123444161988;400,00
123444162820;400,00
123444162176;400,00
123444162556;400,00
123444161244;400,00
123444162911;400,00
265082664268;500,00
290051813662;500,00
123444162739;800,00
123444162762;800,00
123444162531;800,00
123444162325;800,00
123444147060;881,00
123444162754;1 000,00
279123013831;1 000,00
123444162937;1 000,00
275091243277;1 000,00
123444159743;1 000,00
123444161400;1 000,00
269112190211;1 100,00
270051010691;1 107,00
274080566707;1 233,00
200092999446;1 494,00
123444161772;1 625,00
123444162853;2 000,00
123444160816;2 000,00
267083037262;2 000,00
288092998757;2 050,00
280103099717;2 077,00
123444160071;2 300,00
123444160105;2 300,00
123444159883;2 350,00
278071040630;2 874,00
278062063492;5 911,00
123444162465;7 200,00
123444161855;7 300,00
123444160998;7 800,00
