Datum;
2022-02-21;
2262;
273050770323;60,00
123444200398;400,00
123444200414;400,00
123444200190;600,00
123444200323;600,00
123444199863;600,00
123444200265;600,00
271030220773;1 026,00
123444199988;1 270,00
123444200679;1 295,00
123444200497;1 295,00
123444200547;1 295,00
123444200570;1 295,00
123444200596;1 295,00
123444202196;1 500,00
123444202485;1 500,00
123444200968;1 500,00
123444200836;1 500,00
123444199475;2 150,00
123444202451;2 440,00
123444202246;2 440,00
123444199236;2 880,00
123444202170;3 025,00
123444202402;3 025,00
123444202360;5 775,00
