Datum;
2021-01-28;
30;
269060377109;6,00
267011596801;10,00
264021495868;19,00
269121524962;76,00
123444147946;300,00
123444147953;300,00
123444147110;360,00
123444148043;430,00
123444147029;600,00
123444147425;900,00
273102369785;1 000,00
269042731456;1 300,00
275112075484;1 314,00
270022781701;1 449,00
275121178790;1 500,00
272093084031;1 500,00
269080467559;1 500,00
271010420476;1 800,00
123444146153;2 751,66
274071719992;3 000,00
123444147524;3 600,00
123444148050;5 040,00
123444147839;5 395,00
268111940881;6 541,00
123444142749;7 360,00
275041570746;7 447,00
271081736578;7 509,00
275100318474;7 590,00
274120664132;18 748,00
267110666554;28 744,00
