Datum;
2021-12-17;
21445;
123444195705;200,00
123444192793;300,00
123444195739;400,00
123444191530;500,00
123444193171;600,00
123444193403;800,00
123444193262;800,00
123444193270;800,00
123444193387;800,00
123444195812;800,00
123444192736;1 000,00
123444193494;1 100,00
123444193478;1 100,00
123444194278;1 100,00
123444193254;1 100,00
123444193536;1 100,00
123444193379;1 100,00
123444193353;1 100,00
123444193825;1 100,00
123444193338;1 100,00
123444193775;1 100,00
123444189518;1 400,00
123444191969;1 400,00
123444193437;2 200,00
123444190532;2 800,00
123444191704;4 000,00
123444195820;10 120,00
