Datum;
2021-05-28;
176;
271103032790;59,00
272092024749;69,00
252100681896;107,00
123444158000;180,00
123444157747;230,00
123444156830;430,00
123444157556;570,00
123444156889;620,00
123444157432;690,00
269060168979;876,00
123444156772;990,00
284020112538;1 000,00
269112190211;1 000,00
269042731456;1 036,00
275112075484;1 133,00
123444156905;1 240,00
274080560536;1 333,00
123444158323;1 625,00
123444157168;1 625,00
277050625577;2 268,00
123444157440;2 300,00
123444158513;2 300,00
123444158182;2 300,00
123444158810;2 600,00
123444156640;3 050,00
123444153688;3 078,00
123444157036;3 925,00
273061789775;5 000,00
