Datum;
2021-11-10;
21391;
123444181366;110,00
123444175376;150,00
123444186852;250,00
123444182471;250,00
123444182497;250,00
123444186001;250,00
123444181705;270,00
123444181713;270,00
123444186290;315,00
123444179634;410,00
123444186860;450,00
123444186621;500,00
123444179535;500,00
123444186639;500,00
123444186878;550,00
123444186696;700,00
123444185227;700,00
123444183446;750,00
123444186738;850,00
123444186233;950,00
123444184683;1 000,00
123444186787;1 150,00
123444181317;2 200,00
123444185441;2 300,00
123444186712;2 350,00
123444186886;4 400,00
