Datum;
2022-05-19;
22177;
123444215594;50,00
123444216956;70,00
123444218689;70,00
123444218929;225,00
123444155881;225,00
123444210009;250,00
201070913136;253,00
123444217392;300,00
123444219273;345,00
123444219083;450,00
123444218457;470,00
123444217277;520,00
123444215610;520,00
123444219117;520,00
123444218986;525,00
123444208680;540,00
123444214662;570,00
123444156079;840,00
123444215974;1 725,00
123444217996;1 725,00
123444218648;2 030,00
123444216139;2 200,00
123444219208;3 000,00
123444218960;6 900,00
