Datum;
2020-10-19;
293;
123444135925;400,00
123444135917;600,00
123444137624;1 080,00
123444135800;1 300,00
123444136055;2 425,00
123444136618;2 425,00
123444136006;2 600,00
123444134563;2 635,00
123444136048;2 850,00
123444134449;3 135,00
123444136071;3 380,00
123444135867;3 450,00
123444135909;3 450,00
123444135503;4 250,00
123444137095;5 520,00
123444135685;5 600,00
123444135792;5 980,00
123444135255;6 500,00
123444135347;6 760,00
123444136170;10 145,00
123444137731;11 115,00
123444136022;12 880,00
123444137384;16 720,00
