Datum;
2021-08-27;
21290;
267030756683;406,00
123444167175;651,00
123444168041;800,00
123444167340;800,00
268073015912;1 154,00
123444166565;1 355,00
123444166268;1 446,00
123444168058;1 600,00
270042260306;2 000,00
123444166482;3 000,00
259022468328;3 000,00
269102288702;3 202,00
273061559947;3 461,00
123444167332;4 700,00
123444166748;4 875,00
123444166391;4 875,00
123444166847;6 900,00
123444166110;6 900,00
123444166532;6 900,00
123444166060;6 900,00
123444166474;6 900,00
123444167449;6 900,00
123444168538;9 425,00
123444166383;9 750,00
