Datum;
2020-10-28;
306;
273071393113;20,00
271062611709;224,00
271103032790;316,00
123444138135;540,00
123444138838;540,00
123444138895;540,00
123444137566;540,00
123444138705;790,00
123444138796;1 080,00
123444138911;1 080,00
123444138598;1 080,00
275121178790;2 000,00
279021872015;2 115,00
123444138002;2 200,00
272032583549;2 775,00
123444137699;2 800,00
123444137467;2 850,00
123444137475;2 850,00
123444137145;3 050,00
123444138440;3 450,00
275041570746;3 643,00
123444138937;4 040,00
123444133292;5 000,00
123444137442;5 030,00
123444138572;7 800,00
123444137426;8 760,00
123444137343;8 760,00
