Datum;
2021-11-08;
21387;
296100270309;228,00
123444182034;250,00
123444182604;250,00
294080792798;253,00
123444183768;300,00
123444182372;350,00
123444183578;350,00
123444184956;400,00
123444185466;400,00
123444185045;450,00
123444185094;450,00
123444185581;450,00
123444181291;470,00
123444183875;500,00
123444185557;500,00
123444185136;500,00
123444181325;540,00
123444180491;600,00
123444180483;600,00
123444183040;600,00
123444184485;600,00
123444184642;600,00
123444185318;750,00
123444183735;800,00
123444185599;950,00
123444184816;1 175,00
123444184907;1 200,00
123444185359;1 400,00
123444184758;1 400,00
123444183776;1 800,00
123444185169;1 900,00
275052076633;2 000,00
123444185425;2 070,00
123444185482;2 400,00
123444185029;2 450,00
123444185219;2 500,00
123444185128;2 600,00
123444185508;2 650,00
123444185102;2 750,00
123444184949;2 750,00
123444185003;2 800,00
123444185052;2 950,00
123444185151;3 000,00
123444185334;3 050,00
261020118616;3 279,00
123444184964;3 550,00
272110843989;4 354,00
276021154188;4 986,00
