Datum;
2021-11-29;
21417;
123444190540;200,00
123444187827;250,00
123444173603;300,00
123444189609;350,00
123444188114;400,00
268111940881;432,00
123444190524;450,00
123444191837;500,00
123444189492;500,00
123444189104;500,00
123444189682;500,00
123444189369;500,00
123444190573;500,00
123444191951;500,00
123444191852;500,00
123444187496;500,00
123444191936;600,00
272060577769;608,00
123444185987;700,00
123444191142;890,00
123444185979;950,00
123444190649;1 000,00
123444189500;1 000,00
123444190029;1 000,00
123444189443;1 000,00
123444189948;1 000,00
267011596801;1 000,00
123444189062;1 000,00
123444190128;1 000,00
123444189237;1 000,00
123444189021;1 000,00
123444189013;1 000,00
269112190211;1 034,00
123444187488;1 350,00
123444192058;1 400,00
269080467559;1 454,00
268073199245;1 500,00
123444191902;1 500,00
123444191829;1 750,00
123444191068;1 800,00
123444188387;1 925,00
123444191332;2 000,00
272031045888;2 022,00
123444188577;2 100,00
275112075484;2 354,00
123444190078;2 400,00
123444184717;2 400,00
272011599813;2 600,00
123444190052;2 800,00
123444190326;2 800,00
271111534977;3 000,00
279083019208;3 000,00
123444191779;3 050,00
123444185326;3 200,00
262010552954;3 478,00
274081068026;3 865,00
123444188353;4 200,00
272071750082;5 984,00
279042848861;6 257,00
123444189971;6 300,00
123444190813;6 500,00
123444190789;6 500,00
123444188429;7 400,00
123444190862;7 500,00
123444191670;8 000,00
