Datum;
2022-05-31;
22191;
123444220347;120,00
123444221287;200,00
123444219588;225,00
123444219943;250,00
123444222111;330,00
123444218697;345,00
123444220768;359,00
123444218507;400,00
123444221295;400,00
123444221162;440,00
123444214571;950,00
270110324356;1 437,00
123444222087;1 725,00
123444218176;1 725,00
123444218390;1 725,00
123444220487;1 740,00
123444218374;2 000,00
123444218028;2 000,00
123444220305;2 200,00
123444216766;2 200,00
275112075484;2 385,00
123444221196;2 400,00
123444220925;2 400,00
123444222095;2 400,00
123444221667;2 400,00
123444219018;2 425,00
123444218127;2 425,00
123444216873;2 800,00
123444219935;10 137,00
