Datum;
2021-04-06;
114;
270082143198;1,00
270041778241;5,00
278100694266;26,00
272102547879;42,00
455600000000;46,00
123444154223;200,00
123444154140;200,00
260053088993;200,00
270051152667;243,00
123444153894;260,00
123444153860;380,00
270061666813;859,00
123444150957;900,00
277032792040;942,00
269060168979;1 136,00
285091665049;2 000,00
271103032790;2 066,00
123444154421;2 500,00
123444151591;2 570,00
276042695714;2 706,00
268073015912;3 556,00
272072144129;3 572,00
123444154264;4 000,00
267040936101;5 600,00
