Datum;
2022-06-03;
123444219786;210,00
123444220149;225,00
123444211734;450,00
123444220230;520,00
123444220750;660,00
123444219802;910,00
123444220156;1 000,00
123444220081;1 020,00
123444219265;1 300,00
123444219331;1 725,00
123444220610;1 725,00
123444220388;1 725,00
123444219489;1 725,00
123444219851;1 725,00
123444220669;1 725,00
123444221808;1 725,00
123444216303;2 000,00
123444222426;2 000,00
123444222350;2 000,00
123444222319;2 200,00
123444220412;2 425,00
123444220172;3 000,00
123444220206;8 000,00
