Datum;
2021-06-14;
198;
123444161194;300,00
123444161145;300,00
123444160444;300,00
123444160733;300,00
123444161087;300,00
123444160915;400,00
123444161079;400,00
123444161111;400,00
123444161095;400,00
123444161160;400,00
123444161335;400,00
123444161418;400,00
123444161384;400,00
273061559947;1 500,00
123444159677;1 625,00
123444159693;1 625,00
123444158976;1 625,00
123444158968;1 625,00
123444159727;2 000,00
123444158430;2 300,00
123444160287;2 300,00
123444159305;4 000,00
123444159941;4 000,00
123444159867;7 200,00
123444160261;7 400,00
