Datum;
2020-12-23;
376;
1,23444E+11;500
1,23444E+11;600
1,23444E+11;1Ê050,00
1,23444E+11;1Ê900,00
1,23444E+11;2Ê000,00
1,23444E+11;2Ê000,00
2,7411E+11;2Ê259,00
1,23444E+11;2Ê500,00
1,23444E+11;2Ê565,00
1,23444E+11;3Ê000,00
1,23444E+11;5Ê860,00
1,23444E+11;5Ê860,00
1,23444E+11;5Ê860,00
1,23444E+11;5Ê860,00
1,23444E+11;6Ê160,00
1,23444E+11;6Ê500,00
1,23444E+11;7Ê040,00
1,23444E+11;7Ê040,00
1,23444E+11;7Ê040,00
1,23444E+11;7Ê360,00
1,23444E+11;7Ê360,00
1,23444E+11;7Ê360,00
1,23444E+11;9Ê900,00
1,23444E+11;10Ê350,00
1,23444E+11;10Ê350,00
1,23444E+11;10Ê350,00
1,23444E+11;14Ê400,00
1,23444E+11;17Ê260,00
4,8148E+11;181Ê577,00
