Datum;
2022-06-28;
22226;
277052684341;223,00
285062240517;250,00
276121775155;385,00
293071220256;525,00
253022458967;660,00
123444225445;700,00
272081963873;723,00
270062630032;785,00
280061140636;800,00
282033089776;881,00
123444224703;920,00
123444226088;920,00
123444226278;920,00
123444225759;975,00
123444226401;1 000,00
123444225940;1 000,00
123444225775;1 000,00
269070927620;1 000,00
123444225221;1 000,00
123444226328;1 000,00
277031966199;1 200,00
279071983936;1 332,00
278121499034;1 385,00
274071719992;1 568,00
123444226351;1 725,00
123444226294;2 000,00
123444225742;2 000,00
291122681310;2 000,00
123444225403;2 425,00
123444226385;2 425,00
123444226377;2 425,00
288103086741;3 000,00
284060658846;3 453,00
123444226021;3 600,00
123444225197;65 000,00
