Datum;
2021-10-20;
21361;
123444180038;220,00
123444179147;220,00
123444175871;250,00
123444180277;260,00
123444180244;300,00
123444179519;380,00
123444175319;450,00
123444174155;550,00
123444179824;650,00
123444173603;700,00
123444180087;830,00
123444179600;1 000,00
123444175848;1 000,00
123444173546;1 344,00
123444180228;1 800,00
123444175814;2 000,00
123444180251;2 230,00
123444176556;2 230,00
123444180202;2 230,00
123444180194;2 230,00
123444179758;2 230,00
123444180210;3 200,00
123444176937;3 200,00
123444180236;3 200,00
123444176317;3 200,00
123444175723;3 200,00
123444171250;3 300,00
123444175970;5 800,00
123444175426;6 000,00
123444176192;6 200,00
123444176309;16 700,00
